CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
23642,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,fac135
23644,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,fac136
23645,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,fac137
23646,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 100- 150PM,M,fac138
23657,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,fac139
23720,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,fac140
23721,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,fac141
23722,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,fac142
23729,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,fac143
24823,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,fac144
24824,CS,150,PROBLEM SOLVING & PRGMNG I,0, 900- 950AM,M,fac145
24825,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,fac146
24826,CS,150,PROBLEM SOLVING & PRGMNG I,0, 900- 950AM,M,fac147
24828,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,fac148
24829,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,fac149
24830,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,fac150
24831,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,fac151
24832,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,fac152
24833,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,fac153
24834,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,fac154
24835,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,fac155
24836,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,fac156
24837,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,fac157
24838,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,fac158
24839,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,fac159
24852,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,fac160
14083,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 300- 415PM,MW,fac161
17929,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 545- 700PM,MW,fac162
23730,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 545- 700PM,MW,fac163
20827,CS,229,TNCC-PROBLEM SOLVING &PRGM,4,HOURS ARR,,fac164
10245,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 800- 915AM,TR,fac165
10246,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,R,fac166
10247,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 400PM,T,fac167
11398,CS,250,PROB SOLVING & PROGRMNG II REC,0, 440- 530PM,M,fac168
11399,CS,250,PROB SOLVING & PROGRMNG II REC,0, 545- 635PM,M,fac169
12022,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1045AM,TR,fac170
12023,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,fac171
12231,CS,250,PROB SOLVING & PROGRMNG II REC,0,1200-1250PM,M,fac172
12232,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,R,fac173
12626,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1200PM,S,fac174
12627,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 100- 330PM,S,fac175
12628,CS,250,PROB SOLVING & PROGRMNG II REC,0, 345- 435PM,S,fac176
16477,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac177
16478,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac178
16479,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac179
16480,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,fac180
16481,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,fac181
16482,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,fac182
16483,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,fac183
16779,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac184
17852,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,fac185
17853,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,fac186
17854,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,fac187
17855,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,fac188
17856,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,fac189
17857,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,fac190
17858,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,fac191
17859,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,fac192
21512,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac193
21514,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac194
21515,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac195
21519,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,fac196
21520,CS,250,PROB SOL & PROG II LAB,0, 710- 950PM,R,fac197
21531,CS,250,PROB SOL & PROGR II LAB,0, 710- 950PM,R,fac198
21532,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,R,fac199
21533,CS,250,PROB SOL & PROG II LAB,0, 710- 950PM,R,fac200
21534,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,fac201
21535,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,fac202
21536,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,fac203
21537,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,W,fac204
21538,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,fac205
21539,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,fac206
21540,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 200- 430PM,F,fac207
21541,CS,250,PROB SOL & PROG II LAB,0, 200- 430PM,F,fac208
23731,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 800- 915AM,TR,fac209
23734,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,T,fac210
23735,CS,250,PROB SOLVING & PROGRMNG II REC,0, 545- 635PM,M,fac211
23736,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,fac212
23737,CS,250,PROB SOLVING & PROGRMNG II REC,0,1200-1250PM,M,fac213
23738,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,R,fac214
23739,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1200PM,S,fac215
23740,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 100- 330PM,S,fac216
23741,CS,250,PROB SOLVING & PROGRMNG II REC,0, 345- 435PM,S,fac217
24385,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,R,fac218
24386,CS,250,PROB SOLVING & PROGRMNG II REC,0, 440- 530PM,M,fac219
24812,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,fac220
24813,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,fac221
13785,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,fac222
13786,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,fac223
13787,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,fac224
16781,CS,252,INTRO TO UNIX FOR PROGRAMMERS,1,HOURS ARR,,fac225
11400,CS,270,INTRO COMPUTER ARCHITECTURE II,3, 900- 950AM,MWF,fac226
23742,CS,270,INTRO COMPUTER ARCHITECTURE II,3, 900- 950AM,MWF,fac227
13788,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac228
13789,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac229
13790,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac230
13791,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac231
13792,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac232
13793,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac233
13794,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac234
13796,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac235
13797,CS,300T,COMPUTERS IN SOCIETY,3,HOURS ARR,,fac236
