CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
21491,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,"ZEIL,S"
21492,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,"ZEIL,S"
21493,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,"ZEIL,S"
21496,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,HOURS ARR,,"ZEIL,S"
21501,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,"ZEIL,S"
21502,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,"ZEIL,S"
21503,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,"ZEIL,S"
21506,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,"ZEIL,S"
22422,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,"ZEIL,S"
22423,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,"ZEIL,S"
22424,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,"ZEIL,S"
22425,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,"ZEIL,S"
22426,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,"ZEIL,S"
22427,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,"ZEIL,S"
23628,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,"ZEIL,S"
23632,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,"ZEIL,S"
23636,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,"ZEIL,S"
23637,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,"ZEIL,S"
23639,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,"ZEIL,S"
23641,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,"ZEIL,S"
23642,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,"ZEIL,S"
23644,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,"ZEIL,S"
23645,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,"ZEIL,S"
23646,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 100- 150PM,M,"ZEIL,S"
23657,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,"ZEIL,S"
23720,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,"ZEIL,S"
23721,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,"ZEIL,S"
23722,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,"ZEIL,S"
23729,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,"ZEIL,S"
24823,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,"ZEIL,S"
24824,CS,150,PROBLEM SOLVING & PRGMNG I,0, 900- 950AM,M,"ZEIL,S"
24825,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,"ZEIL,S"
24826,CS,150,PROBLEM SOLVING & PRGMNG I,0, 900- 950AM,M,"ZEIL,S"
24828,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,"ZEIL,S"
24829,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,"ZEIL,S"
24830,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,"ZEIL,S"
24831,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,"ZEIL,S"
24832,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,"ZEIL,S"
24833,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,"ZEIL,S"
24834,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,"ZEIL,S"
24835,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,"ZEIL,S"
24836,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,"ZEIL,S"
24837,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,"ZEIL,S"
24838,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,"ZEIL,S"
24839,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,"ZEIL,S"
24852,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,"ZEIL,S"
14083,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 300- 415PM,MW,"ZEIL,S"
17929,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 545- 700PM,MW,"ZEIL,S"
23730,CS,170,INTRO COMPUTER ARCHITECTURE I,3, 545- 700PM,MW,"ZEIL,S"
20827,CS,229,TNCC-PROBLEM SOLVING &PRGM,4,HOURS ARR,,"ZEIL,S"
10245,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 800- 915AM,TR,"ZEIL,S"
10246,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,R,"ZEIL,S"
10247,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 400PM,T,"ZEIL,S"
11398,CS,250,PROB SOLVING & PROGRMNG II REC,0, 440- 530PM,M,"ZEIL,S"
11399,CS,250,PROB SOLVING & PROGRMNG II REC,0, 545- 635PM,M,"ZEIL,S"
12022,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1045AM,TR,"ZEIL,S"
12023,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 420- 650PM,T,"ZEIL,S"
12231,CS,250,PROB SOLVING & PROGRMNG II REC,0,1200-1250PM,M,"ZEIL,S"
12232,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 130- 410PM,R,"ZEIL,S"
12626,CS,250,PROBLEM SOLVING & PROGRMNG II,4, 930-1200PM,S,"ZEIL,S"
12627,CS,250,PROBLEM SOLVNG & PRGMNG II LAB,0, 100- 330PM,S,"ZEIL,S"
12628,CS,250,PROB SOLVING & PROGRMNG II REC,0, 345- 435PM,S,"ZEIL,S"
16477,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
16478,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
16479,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
16480,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,"ZEIL,S"
16481,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,"ZEIL,S"
16482,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,"ZEIL,S"
16483,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,"ZEIL,S"
16779,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
17852,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,"ZEIL,S"
17853,CS,250,PROBLEM SOLVING & PRGMG II LAB,0, 710- 950PM,M,"ZEIL,S"
17854,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,"ZEIL,S"
17855,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 710- 800PM,F,"ZEIL,S"
17856,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,"ZEIL,S"
17857,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,"ZEIL,S"
17858,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,"ZEIL,S"
17859,CS,250,PROBLEM SOLVING & PRGMG II REC,0, 610- 700PM,R,"ZEIL,S"
21512,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
21514,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
21515,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
21519,CS,250,PROBLEM SOLVING & PROGRMNG II,4,HOURS ARR,,"ZEIL,S"
